estacao,latitude,longitude
"Estacao Jabaquara, Sao Paulo, Brasil",-23.6461957,-46.6407825
"Estacao Conceicao, Sao Paulo, Brasil",-23.635197,-46.6412687
"Estacao Sao Judas, Sao Paulo, Brasil",-23.625627,-46.64084219999999
"Estacao Saude, Sao Paulo, Brasil",-23.6185273,-46.6394092
"Estacao Praca da arvore, Sao Paulo, Brasil",-23.6105101,-46.637934
"Estacao Santa Cruz, Sao Paulo, Brasil",-23.5989093,-46.6368331
"Estacao Vila Mariana, Sao Paulo, Brasil",-23.5894943,-46.6344496
"Estacao Ana Rosa, Sao Paulo, Brasil",-23.5815346,-46.6386638
"Estacao Paraiso, Sao Paulo, Brasil",-23.5751479,-46.6402835
"Estacao Vergueiro, Sao Paulo, Brasil",-23.5688658,-46.6399219
"Estacao Sao Joaquim, Sao Paulo, Brasil",-23.5618724,-46.6386722
"Estacao Japao-Liberdade, Sao Paulo, Brasil",-23.5550799,-46.6358499
"Estacao Se, Sao Paulo, Brasil",-23.5500991,-46.633321
"Estacao Sao Bento, Sao Paulo, Brasil",-23.5443802,-46.6341235
"Estacao Luz, Sao Paulo, Brasil",-23.5364643,-46.63427069999999
"Estacao Tiradentes, Sao Paulo, Brasil",-23.5308419,-46.6324956
"Estacao Armenia, Sao Paulo, Brasil",-23.525464,-46.6293
"Estacao Portuguesa-Tiete, Sao Paulo, Brasil",-23.5161069,-46.6252047
"Estacao Carandiru, Sao Paulo, Brasil",-23.509149,-46.624937
"Estacao Santana, Sao Paulo, Brasil",-23.5025905,-46.6247431
"Estacao Jardim Sao Paulo-Ayrton Senna, Sao Paulo, Brasil",-23.4922867,-46.6166635
"Estacao Parada Inglesa, Sao Paulo, Brasil",-23.4869427,-46.6088313
"Estacao Tucuruvi, Sao Paulo, Brasil",-23.4805106,-46.60370400000001
"Estacao Vila Prudente, Sao Paulo, Brasil",-23.5843897,-46.5819115
"Estacao Tamanduatei, Sao Paulo, Brasil",-23.5927572,-46.58945
"Estacao Sacoma, Sao Paulo, Brasil",-23.60162,-46.60306
"Estacao Alto do Ipiranga, Sao Paulo, Brasil",-23.6020094,-46.6124299
"Estacao Santos-Imigrantes, Sao Paulo, Brasil",-23.5959352,-46.6207273
"Estacao Chacara Klabin, Sao Paulo, Brasil",-23.5927598,-46.6304293
"Estacao Brigadeiro, Sao Paulo, Brasil",-23.568864,-46.647415
"Estacao Trianon-Masp, Sao Paulo, Brasil",-23.5636678,-46.6538148
"Estacao Consolacao, Sao Paulo, Brasil",-23.5577619,-46.6606095
"Estacao Clinicas, Sao Paulo, Brasil",-23.5542906,-46.670987
"Estacao S. N. Sra. de Fatima-Sumare, Sao Paulo, Brasil",-23.5507519,-46.6779022
"Estacao Vila Madalena, Sao Paulo, Brasil",-23.5465387,-46.6907339
"Estacao Corinthians-Itaquera, Sao Paulo, Brasil",-23.54218,-46.47107
"Estacao Artur Alvim, Sao Paulo, Brasil",-23.5404184,-46.4840459
"Estacao Patriarca-Vila Re, Sao Paulo, Brasil",-23.531155,-46.501455
"Estacao Guilhermina-Esperanca, Sao Paulo, Brasil",-23.529533,-46.5169876
"Estacao Vila Matilde, Sao Paulo, Brasil",-23.5318384,-46.5304917
"Estacao Penha, Sao Paulo, Brasil",-23.5335176,-46.5425815
"Estacao Carrao-Assai Atacadista, Sao Paulo, Brasil",-23.537826,-46.564122
"Estacao Tatuape, Sao Paulo, Brasil",-23.5402828,-46.5764242
"Estacao Belem, Sao Paulo, Brasil",-23.5427146,-46.58962460000001
"Estacao Bresser-Mooca, Sao Paulo, Brasil",-23.5463766,-46.6072689
"Estacao Bras, Sao Paulo, Brasil",-23.54498,-46.61647
"Estacao Pedro II, Sao Paulo, Brasil",-23.5496652,-46.6258742
"Estacao Anhangabau, Sao Paulo, Brasil",-23.5478432,-46.6388302
"Estacao Republica, Sao Paulo, Brasil",-23.54422,-46.64279
"Estacao Santa Cecilia, Sao Paulo, Brasil",-23.5391515,-46.6492673
"Estacao Marechal Deodoro, Sao Paulo, Brasil",-23.5339312,-46.6556906
"Estacao Palmeiras-Barra Funda, Sao Paulo, Brasil",-23.5254689,-46.66742
"Estacao Vila Sonia Profa. Elisabeth Tenreiro, Sao Paulo, Brasil",-23.592867,-46.7348605
